date,algorithm,structure,dataType,distribution,size,iteration,time_us
2026-05-18 19:28:02,quick,array,int,random,25000,1,900
2026-05-18 19:28:02,quick,array,int,random,25000,2,925
2026-05-18 19:28:02,quick,array,int,random,25000,3,880
2026-05-18 19:28:02,quick,array,int,random,25000,4,905
2026-05-18 19:28:02,quick,array,int,random,25000,5,945
2026-05-18 19:28:02,quick,array,int,random,25000,6,875
2026-05-18 19:28:02,quick,array,int,random,25000,7,942
2026-05-18 19:28:02,quick,array,int,random,25000,8,921
2026-05-18 19:28:02,quick,array,int,random,25000,9,921
2026-05-18 19:28:02,quick,array,int,random,25000,10,929
2026-05-18 19:28:02,quick,array,int,random,25000,11,940
2026-05-18 19:28:02,quick,array,int,random,25000,12,881
2026-05-18 19:28:02,quick,array,int,random,25000,13,904
2026-05-18 19:28:02,quick,array,int,random,25000,14,895
2026-05-18 19:28:02,quick,array,int,random,25000,15,905
2026-05-18 19:28:02,quick,array,int,random,25000,16,928
2026-05-18 19:28:02,quick,array,int,random,25000,17,903
2026-05-18 19:28:02,quick,array,int,random,25000,18,884
2026-05-18 19:28:02,quick,array,int,random,25000,19,929
2026-05-18 19:28:02,quick,array,int,random,25000,20,899
2026-05-18 19:28:02,quick,array,int,random,25000,21,898
2026-05-18 19:28:02,quick,array,int,random,25000,22,955
2026-05-18 19:28:02,quick,array,int,random,25000,23,892
2026-05-18 19:28:02,quick,array,int,random,25000,24,918
2026-05-18 19:28:02,quick,array,int,random,25000,25,892
2026-05-18 19:28:02,quick,array,int,random,25000,26,901
2026-05-18 19:28:02,quick,array,int,random,25000,27,931
2026-05-18 19:28:02,quick,array,int,random,25000,28,913
2026-05-18 19:28:02,quick,array,int,random,25000,29,889
2026-05-18 19:28:02,quick,array,int,random,25000,30,924
2026-05-18 19:28:02,quick,array,int,random,25000,31,896
2026-05-18 19:28:02,quick,array,int,random,25000,32,962
2026-05-18 19:28:02,quick,array,int,random,25000,33,923
2026-05-18 19:28:02,quick,array,int,random,25000,34,879
2026-05-18 19:28:02,quick,array,int,random,25000,35,935
2026-05-18 19:28:02,quick,array,int,random,25000,36,888
2026-05-18 19:28:02,quick,array,int,random,25000,37,890
2026-05-18 19:28:02,quick,array,int,random,25000,38,899
2026-05-18 19:28:02,quick,array,int,random,25000,39,906
2026-05-18 19:28:02,quick,array,int,random,25000,40,941
2026-05-18 19:28:02,quick,array,int,random,25000,41,878
2026-05-18 19:28:02,quick,array,int,random,25000,42,875
2026-05-18 19:28:02,quick,array,int,random,25000,43,938
2026-05-18 19:28:02,quick,array,int,random,25000,44,938
2026-05-18 19:28:02,quick,array,int,random,25000,45,925
2026-05-18 19:28:02,quick,array,int,random,25000,46,922
2026-05-18 19:28:02,quick,array,int,random,25000,47,909
2026-05-18 19:28:02,quick,array,int,random,25000,48,912
2026-05-18 19:28:02,quick,array,int,random,25000,49,910
2026-05-18 19:28:02,quick,array,int,random,25000,50,877
2026-05-18 19:28:02,quick,array,int,random,25000,51,927
2026-05-18 19:28:02,quick,array,int,random,25000,52,904
2026-05-18 19:28:02,quick,array,int,random,25000,53,880
2026-05-18 19:28:02,quick,array,int,random,25000,54,907
2026-05-18 19:28:02,quick,array,int,random,25000,55,907
2026-05-18 19:28:02,quick,array,int,random,25000,56,911
2026-05-18 19:28:02,quick,array,int,random,25000,57,927
2026-05-18 19:28:02,quick,array,int,random,25000,58,877
2026-05-18 19:28:02,quick,array,int,random,25000,59,936
2026-05-18 19:28:02,quick,array,int,random,25000,60,877
2026-05-18 19:28:02,quick,array,int,random,25000,61,937
2026-05-18 19:28:02,quick,array,int,random,25000,62,941
2026-05-18 19:28:02,quick,array,int,random,25000,63,888
2026-05-18 19:28:02,quick,array,int,random,25000,64,890
2026-05-18 19:28:02,quick,array,int,random,25000,65,952
2026-05-18 19:28:02,quick,array,int,random,25000,66,898
2026-05-18 19:28:02,quick,array,int,random,25000,67,930
2026-05-18 19:28:02,quick,array,int,random,25000,avg,910
2026-05-18 19:28:02,quick,array,int,random,25000,min,875
2026-05-18 19:28:02,quick,array,int,random,25000,max,962
2026-05-18 19:28:02,quick,singleList,int,random,25000,1,917
2026-05-18 19:28:02,quick,singleList,int,random,25000,2,911
2026-05-18 19:28:02,quick,singleList,int,random,25000,3,938
