date,algorithm,structure,dataType,distribution,size,iteration,time_us
2026-05-18 19:29:00,quick,array,int,random,25000,1,930
2026-05-18 19:29:00,quick,array,int,random,25000,2,930
2026-05-18 19:29:00,quick,array,int,random,25000,3,940
2026-05-18 19:29:00,quick,array,int,random,25000,4,949
2026-05-18 19:29:00,quick,array,int,random,25000,5,893
2026-05-18 19:29:00,quick,array,int,random,25000,6,884
2026-05-18 19:29:00,quick,array,int,random,25000,7,952
2026-05-18 19:29:00,quick,array,int,random,25000,8,932
2026-05-18 19:29:00,quick,array,int,random,25000,9,933
2026-05-18 19:29:00,quick,array,int,random,25000,10,907
2026-05-18 19:29:00,quick,array,int,random,25000,11,909
2026-05-18 19:29:00,quick,array,int,random,25000,12,924
2026-05-18 19:29:00,quick,array,int,random,25000,13,893
2026-05-18 19:29:00,quick,array,int,random,25000,14,896
2026-05-18 19:29:00,quick,array,int,random,25000,15,928
2026-05-18 19:29:00,quick,array,int,random,25000,16,903
2026-05-18 19:29:00,quick,array,int,random,25000,17,918
2026-05-18 19:29:00,quick,array,int,random,25000,18,1014
2026-05-18 19:29:00,quick,array,int,random,25000,19,989
2026-05-18 19:29:00,quick,array,int,random,25000,20,1047
2026-05-18 19:29:00,quick,array,int,random,25000,21,912
2026-05-18 19:29:00,quick,array,int,random,25000,22,888
2026-05-18 19:29:00,quick,array,int,random,25000,23,875
2026-05-18 19:29:00,quick,array,int,random,25000,24,897
2026-05-18 19:29:00,quick,array,int,random,25000,25,895
2026-05-18 19:29:00,quick,array,int,random,25000,26,890
2026-05-18 19:29:00,quick,array,int,random,25000,27,888
2026-05-18 19:29:00,quick,array,int,random,25000,28,885
2026-05-18 19:29:00,quick,array,int,random,25000,29,893
2026-05-18 19:29:00,quick,array,int,random,25000,30,885
2026-05-18 19:29:00,quick,array,int,random,25000,31,930
2026-05-18 19:29:00,quick,array,int,random,25000,32,869
2026-05-18 19:29:00,quick,array,int,random,25000,33,928
2026-05-18 19:29:00,quick,array,int,random,25000,34,904
2026-05-18 19:29:00,quick,array,int,random,25000,35,982
2026-05-18 19:29:00,quick,array,int,random,25000,36,938
2026-05-18 19:29:00,quick,array,int,random,25000,37,891
2026-05-18 19:29:00,quick,array,int,random,25000,38,932
2026-05-18 19:29:00,quick,array,int,random,25000,39,901
2026-05-18 19:29:00,quick,array,int,random,25000,40,872
2026-05-18 19:29:00,quick,array,int,random,25000,41,948
2026-05-18 19:29:00,quick,array,int,random,25000,42,917
2026-05-18 19:29:00,quick,array,int,random,25000,43,883
2026-05-18 19:29:00,quick,array,int,random,25000,44,934
2026-05-18 19:29:00,quick,array,int,random,25000,45,879
2026-05-18 19:29:00,quick,array,int,random,25000,46,906
2026-05-18 19:29:00,quick,array,int,random,25000,47,901
2026-05-18 19:29:00,quick,array,int,random,25000,48,907
2026-05-18 19:29:00,quick,array,int,random,25000,49,929
2026-05-18 19:29:00,quick,array,int,random,25000,50,897
2026-05-18 19:29:00,quick,array,int,random,25000,51,893
2026-05-18 19:29:00,quick,array,int,random,25000,52,988
2026-05-18 19:29:00,quick,array,int,random,25000,53,867
2026-05-18 19:29:00,quick,array,int,random,25000,54,951
2026-05-18 19:29:00,quick,array,int,random,25000,55,895
2026-05-18 19:29:00,quick,array,int,random,25000,56,878
2026-05-18 19:29:00,quick,array,int,random,25000,57,925
2026-05-18 19:29:00,quick,array,int,random,25000,58,910
2026-05-18 19:29:00,quick,array,int,random,25000,59,875
2026-05-18 19:29:00,quick,array,int,random,25000,60,942
2026-05-18 19:29:00,quick,array,int,random,25000,61,893
2026-05-18 19:29:00,quick,array,int,random,25000,62,897
2026-05-18 19:29:00,quick,array,int,random,25000,63,937
2026-05-18 19:29:00,quick,array,int,random,25000,64,908
2026-05-18 19:29:00,quick,array,int,random,25000,65,954
2026-05-18 19:29:00,quick,array,int,random,25000,66,888
2026-05-18 19:29:00,quick,array,int,random,25000,67,895
2026-05-18 19:29:00,quick,array,int,random,25000,avg,915
2026-05-18 19:29:00,quick,array,int,random,25000,min,867
2026-05-18 19:29:00,quick,array,int,random,25000,max,1047
2026-05-18 19:29:00,quick,array,float,random,25000,1,1159
2026-05-18 19:29:00,quick,array,float,random,25000,2,1103
2026-05-18 19:29:00,quick,array,float,random,25000,3,1073
2026-05-18 19:29:00,quick,array,float,random,25000,4,1106
2026-05-18 19:29:00,quick,array,float,random,25000,5,1159
2026-05-18 19:29:00,quick,array,float,random,25000,6,1153
2026-05-18 19:29:00,quick,array,float,random,25000,7,1175
2026-05-18 19:29:00,quick,array,float,random,25000,8,1130
2026-05-18 19:29:00,quick,array,float,random,25000,9,1086
2026-05-18 19:29:00,quick,array,float,random,25000,10,1148
2026-05-18 19:29:00,quick,array,float,random,25000,11,1149
2026-05-18 19:29:00,quick,array,float,random,25000,12,1083
2026-05-18 19:29:00,quick,array,float,random,25000,13,1138
2026-05-18 19:29:00,quick,array,float,random,25000,14,1204
2026-05-18 19:29:00,quick,array,float,random,25000,15,1138
2026-05-18 19:29:00,quick,array,float,random,25000,16,1091
2026-05-18 19:29:00,quick,array,float,random,25000,17,1170
2026-05-18 19:29:00,quick,array,float,random,25000,18,1079
2026-05-18 19:29:00,quick,array,float,random,25000,19,1103
2026-05-18 19:29:00,quick,array,float,random,25000,20,1108
2026-05-18 19:29:00,quick,array,float,random,25000,21,1090
2026-05-18 19:29:00,quick,array,float,random,25000,22,1100
2026-05-18 19:29:00,quick,array,float,random,25000,23,1178
2026-05-18 19:29:00,quick,array,float,random,25000,24,1155
2026-05-18 19:29:00,quick,array,float,random,25000,25,1188
2026-05-18 19:29:00,quick,array,float,random,25000,26,1209
2026-05-18 19:29:00,quick,array,float,random,25000,27,1223
2026-05-18 19:29:00,quick,array,float,random,25000,28,1211
2026-05-18 19:29:00,quick,array,float,random,25000,29,1194
2026-05-18 19:29:00,quick,array,float,random,25000,30,1172
2026-05-18 19:29:00,quick,array,float,random,25000,31,1160
2026-05-18 19:29:00,quick,array,float,random,25000,32,1174
2026-05-18 19:29:00,quick,array,float,random,25000,33,1144
2026-05-18 19:29:00,quick,array,float,random,25000,34,1188
2026-05-18 19:29:00,quick,array,float,random,25000,35,1158
2026-05-18 19:29:00,quick,array,float,random,25000,36,1210
2026-05-18 19:29:00,quick,array,float,random,25000,37,1159
2026-05-18 19:29:00,quick,array,float,random,25000,38,1122
2026-05-18 19:29:00,quick,array,float,random,25000,39,1178
2026-05-18 19:29:00,quick,array,float,random,25000,40,1142
2026-05-18 19:29:00,quick,array,float,random,25000,41,1189
2026-05-18 19:29:00,quick,array,float,random,25000,42,1134
2026-05-18 19:29:00,quick,array,float,random,25000,43,1160
2026-05-18 19:29:00,quick,array,float,random,25000,44,1169
2026-05-18 19:29:00,quick,array,float,random,25000,45,1209
2026-05-18 19:29:00,quick,array,float,random,25000,46,1168
2026-05-18 19:29:00,quick,array,float,random,25000,47,1203
2026-05-18 19:29:00,quick,array,float,random,25000,48,1145
2026-05-18 19:29:00,quick,array,float,random,25000,49,1200
2026-05-18 19:29:00,quick,array,float,random,25000,50,1191
2026-05-18 19:29:00,quick,array,float,random,25000,51,1166
2026-05-18 19:29:00,quick,array,float,random,25000,52,1142
2026-05-18 19:29:00,quick,array,float,random,25000,53,1146
2026-05-18 19:29:00,quick,array,float,random,25000,54,1218
2026-05-18 19:29:00,quick,array,float,random,25000,55,1175
2026-05-18 19:29:00,quick,array,float,random,25000,56,1172
2026-05-18 19:29:00,quick,array,float,random,25000,57,1180
2026-05-18 19:29:00,quick,array,float,random,25000,58,1182
2026-05-18 19:29:00,quick,array,float,random,25000,59,1124
2026-05-18 19:29:00,quick,array,float,random,25000,60,1177
2026-05-18 19:29:00,quick,array,float,random,25000,61,1155
2026-05-18 19:29:00,quick,array,float,random,25000,62,1190
2026-05-18 19:29:00,quick,array,float,random,25000,63,1180
2026-05-18 19:29:00,quick,array,float,random,25000,64,1175
2026-05-18 19:29:00,quick,array,float,random,25000,65,1145
2026-05-18 19:29:00,quick,array,float,random,25000,66,1144
2026-05-18 19:29:00,quick,array,float,random,25000,67,1153
