date,algorithm,structure,dataType,distribution,size,iteration,time_us
2026-05-18 19:29:01,quick,array,int,random,25000,1,977
2026-05-18 19:29:01,quick,array,int,random,25000,2,984
2026-05-18 19:29:01,quick,array,int,random,25000,3,896
2026-05-18 19:29:01,quick,array,int,random,25000,4,1023
2026-05-18 19:29:01,quick,array,int,random,25000,5,945
2026-05-18 19:29:01,quick,array,int,random,25000,6,899
2026-05-18 19:29:01,quick,array,int,random,25000,7,940
2026-05-18 19:29:01,quick,array,int,random,25000,8,933
2026-05-18 19:29:01,quick,array,int,random,25000,9,1016
2026-05-18 19:29:01,quick,array,int,random,25000,10,961
2026-05-18 19:29:01,quick,array,int,random,25000,11,892
2026-05-18 19:29:01,quick,array,int,random,25000,12,885
2026-05-18 19:29:01,quick,array,int,random,25000,13,900
2026-05-18 19:29:01,quick,array,int,random,25000,14,892
2026-05-18 19:29:01,quick,array,int,random,25000,15,914
2026-05-18 19:29:01,quick,array,int,random,25000,16,878
2026-05-18 19:29:01,quick,array,int,random,25000,17,898
2026-05-18 19:29:01,quick,array,int,random,25000,18,903
2026-05-18 19:29:01,quick,array,int,random,25000,19,903
2026-05-18 19:29:01,quick,array,int,random,25000,20,960
2026-05-18 19:29:01,quick,array,int,random,25000,21,890
2026-05-18 19:29:01,quick,array,int,random,25000,22,927
2026-05-18 19:29:01,quick,array,int,random,25000,23,896
2026-05-18 19:29:01,quick,array,int,random,25000,24,892
2026-05-18 19:29:01,quick,array,int,random,25000,25,1056
2026-05-18 19:29:01,quick,array,int,random,25000,26,986
2026-05-18 19:29:01,quick,array,int,random,25000,27,998
2026-05-18 19:29:01,quick,array,int,random,25000,28,918
2026-05-18 19:29:01,quick,array,int,random,25000,29,905
2026-05-18 19:29:01,quick,array,int,random,25000,30,936
2026-05-18 19:29:01,quick,array,int,random,25000,31,892
2026-05-18 19:29:01,quick,array,int,random,25000,32,880
2026-05-18 19:29:01,quick,array,int,random,25000,33,950
2026-05-18 19:29:01,quick,array,int,random,25000,34,898
2026-05-18 19:29:01,quick,array,int,random,25000,35,933
2026-05-18 19:29:01,quick,array,int,random,25000,36,909
2026-05-18 19:29:01,quick,array,int,random,25000,37,910
2026-05-18 19:29:01,quick,array,int,random,25000,38,938
2026-05-18 19:29:01,quick,array,int,random,25000,39,915
2026-05-18 19:29:01,quick,array,int,random,25000,40,906
2026-05-18 19:29:01,quick,array,int,random,25000,41,976
2026-05-18 19:29:01,quick,array,int,random,25000,42,904
2026-05-18 19:29:01,quick,array,int,random,25000,43,895
2026-05-18 19:29:01,quick,array,int,random,25000,44,904
2026-05-18 19:29:01,quick,array,int,random,25000,45,922
2026-05-18 19:29:01,quick,array,int,random,25000,46,917
2026-05-18 19:29:01,quick,array,int,random,25000,47,898
2026-05-18 19:29:01,quick,array,int,random,25000,48,880
2026-05-18 19:29:01,quick,array,int,random,25000,49,883
2026-05-18 19:29:01,quick,array,int,random,25000,50,914
2026-05-18 19:29:01,quick,array,int,random,25000,51,910
