date,algorithm,structure,dataType,distribution,size,iteration,time_us
2026-05-18 19:27:49,quick,array,int,random,25000,1,1650
2026-05-18 19:27:49,quick,array,int,random,25000,2,1729
2026-05-18 19:27:49,quick,array,int,random,25000,3,2254
2026-05-18 19:27:49,quick,array,int,random,25000,4,2396
2026-05-18 19:27:49,quick,array,int,random,25000,5,2256
2026-05-18 19:27:49,quick,array,int,random,25000,6,1993
2026-05-18 19:27:49,quick,array,int,random,25000,7,1627
2026-05-18 19:27:49,quick,array,int,random,25000,8,2066
2026-05-18 19:27:49,quick,array,int,random,25000,9,1952
2026-05-18 19:27:49,quick,array,int,random,25000,10,2096
2026-05-18 19:27:49,quick,array,int,random,25000,11,1859
2026-05-18 19:27:49,quick,array,int,random,25000,12,1755
2026-05-18 19:27:49,quick,array,int,random,25000,13,1716
2026-05-18 19:27:49,quick,array,int,random,25000,14,1835
2026-05-18 19:27:49,quick,array,int,random,25000,15,1629
2026-05-18 19:27:49,quick,array,int,random,25000,16,1564
2026-05-18 19:27:49,quick,array,int,random,25000,17,1746
2026-05-18 19:27:49,quick,array,int,random,25000,18,1573
2026-05-18 19:27:49,quick,array,int,random,25000,19,1510
2026-05-18 19:27:49,quick,array,int,random,25000,20,1556
2026-05-18 19:27:49,quick,array,int,random,25000,21,1489
2026-05-18 19:27:49,quick,array,int,random,25000,22,1459
2026-05-18 19:27:49,quick,array,int,random,25000,23,1443
2026-05-18 19:27:49,quick,array,int,random,25000,24,1448
2026-05-18 19:27:49,quick,array,int,random,25000,25,1466
2026-05-18 19:27:49,quick,array,int,random,25000,26,1404
2026-05-18 19:27:49,quick,array,int,random,25000,27,1418
2026-05-18 19:27:49,quick,array,int,random,25000,28,1415
2026-05-18 19:27:49,quick,array,int,random,25000,29,1351
2026-05-18 19:27:49,quick,array,int,random,25000,30,1333
2026-05-18 19:27:49,quick,array,int,random,25000,31,1348
2026-05-18 19:27:49,quick,array,int,random,25000,32,1308
2026-05-18 19:27:49,quick,array,int,random,25000,33,1301
2026-05-18 19:27:49,quick,array,int,random,25000,34,1297
2026-05-18 19:27:49,quick,array,int,random,25000,35,1306
2026-05-18 19:27:49,quick,array,int,random,25000,36,1288
2026-05-18 19:27:49,quick,array,int,random,25000,37,1261
2026-05-18 19:27:49,quick,array,int,random,25000,38,1241
2026-05-18 19:27:49,quick,array,int,random,25000,39,1213
2026-05-18 19:27:49,quick,array,int,random,25000,40,1254
2026-05-18 19:27:49,quick,array,int,random,25000,41,1209
2026-05-18 19:27:49,quick,array,int,random,25000,42,1201
2026-05-18 19:27:49,quick,array,int,random,25000,43,1216
2026-05-18 19:27:49,quick,array,int,random,25000,44,1196
2026-05-18 19:27:49,quick,array,int,random,25000,45,1188
2026-05-18 19:27:49,quick,array,int,random,25000,46,1205
2026-05-18 19:27:49,quick,array,int,random,25000,47,1180
2026-05-18 19:27:49,quick,array,int,random,25000,48,1168
2026-05-18 19:27:49,quick,array,int,random,25000,49,1183
2026-05-18 19:27:49,quick,array,int,random,25000,50,1189
2026-05-18 19:27:50,quick,array,int,random,25000,51,1159
2026-05-18 19:27:50,quick,array,int,random,25000,52,1156
2026-05-18 19:27:50,quick,array,int,random,25000,53,1141
2026-05-18 19:27:50,quick,array,int,random,25000,54,1170
2026-05-18 19:27:50,quick,array,int,random,25000,55,1147
2026-05-18 19:27:50,quick,array,int,random,25000,56,1233
2026-05-18 19:27:50,quick,array,int,random,25000,57,1168
2026-05-18 19:27:50,quick,array,int,random,25000,58,1160
2026-05-18 19:27:50,quick,array,int,random,25000,59,1262
2026-05-18 19:27:50,quick,array,int,random,25000,60,1165
2026-05-18 19:27:50,quick,array,int,random,25000,61,1106
2026-05-18 19:27:50,quick,array,int,random,25000,62,1121
2026-05-18 19:27:50,quick,array,int,random,25000,63,1107
2026-05-18 19:27:50,quick,array,int,random,25000,64,1166
2026-05-18 19:27:50,quick,array,int,random,25000,65,1082
2026-05-18 19:27:50,quick,array,int,random,25000,66,1108
2026-05-18 19:27:50,quick,array,int,random,25000,67,1092
2026-05-18 19:27:50,quick,array,int,random,25000,avg,1422
2026-05-18 19:27:50,quick,array,int,random,25000,min,1082
2026-05-18 19:27:50,quick,array,int,random,25000,max,2396
2026-05-18 19:27:50,quick,array,int,random,25000,1,915
2026-05-18 19:27:50,quick,array,int,random,25000,2,941
2026-05-18 19:27:50,quick,array,int,random,25000,3,906
2026-05-18 19:27:50,quick,array,int,random,25000,4,1046
2026-05-18 19:27:50,quick,array,int,random,25000,5,906
2026-05-18 19:27:50,quick,array,int,random,25000,6,895
2026-05-18 19:27:50,quick,array,int,random,25000,7,927
2026-05-18 19:27:50,quick,array,int,random,25000,8,921
2026-05-18 19:27:50,quick,array,int,random,25000,9,916
2026-05-18 19:27:50,quick,array,int,random,25000,10,953
2026-05-18 19:27:50,quick,array,int,random,25000,11,949
2026-05-18 19:27:50,quick,array,int,random,25000,12,934
2026-05-18 19:27:50,quick,array,int,random,25000,13,948
2026-05-18 19:27:50,quick,array,int,random,25000,14,868
2026-05-18 19:27:50,quick,array,int,random,25000,15,887
2026-05-18 19:27:50,quick,array,int,random,25000,16,883
2026-05-18 19:27:50,quick,array,int,random,25000,17,897
2026-05-18 19:27:50,quick,array,int,random,25000,18,875
2026-05-18 19:27:50,quick,array,int,random,25000,19,909
2026-05-18 19:27:50,quick,array,int,random,25000,20,904
2026-05-18 19:27:50,quick,array,int,random,25000,21,889
2026-05-18 19:27:50,quick,array,int,random,25000,22,873
2026-05-18 19:27:50,quick,array,int,random,25000,23,895
2026-05-18 19:27:50,quick,array,int,random,25000,24,871
2026-05-18 19:27:50,quick,array,int,random,25000,25,869
2026-05-18 19:27:50,quick,array,int,random,25000,26,912
2026-05-18 19:27:50,quick,array,int,random,25000,27,1024
2026-05-18 19:27:50,quick,array,int,random,25000,28,930
2026-05-18 19:27:50,quick,array,int,random,25000,29,883
2026-05-18 19:27:50,quick,array,int,random,25000,30,878
2026-05-18 19:27:50,quick,array,int,random,25000,31,886
2026-05-18 19:27:50,quick,array,int,random,25000,32,904
2026-05-18 19:27:50,quick,array,int,random,25000,33,870
2026-05-18 19:27:50,quick,array,int,random,25000,34,900
2026-05-18 19:27:50,quick,array,int,random,25000,35,892
2026-05-18 19:27:50,quick,array,int,random,25000,36,892
2026-05-18 19:27:50,quick,array,int,random,25000,37,896
2026-05-18 19:27:50,quick,array,int,random,25000,38,926
2026-05-18 19:27:50,quick,array,int,random,25000,39,899
2026-05-18 19:27:50,quick,array,int,random,25000,40,868
2026-05-18 19:27:50,quick,array,int,random,25000,41,882
2026-05-18 19:27:50,quick,array,int,random,25000,42,891
2026-05-18 19:27:50,quick,array,int,random,25000,43,890
2026-05-18 19:27:50,quick,array,int,random,25000,44,892
2026-05-18 19:27:50,quick,array,int,random,25000,45,913
2026-05-18 19:27:50,quick,array,int,random,25000,46,902
2026-05-18 19:27:50,quick,array,int,random,25000,47,880
2026-05-18 19:27:50,quick,array,int,random,25000,48,878
2026-05-18 19:27:50,quick,array,int,random,25000,49,885
2026-05-18 19:27:50,quick,array,int,random,25000,50,876
2026-05-18 19:27:50,quick,array,int,random,25000,51,901
2026-05-18 19:27:50,quick,array,int,random,25000,52,885
2026-05-18 19:27:50,quick,array,int,random,25000,53,920
2026-05-18 19:27:50,quick,array,int,random,25000,54,867
2026-05-18 19:27:50,quick,array,int,random,25000,55,913
2026-05-18 19:27:50,quick,array,int,random,25000,56,880
2026-05-18 19:27:50,quick,array,int,random,25000,57,888
2026-05-18 19:27:50,quick,array,int,random,25000,58,894
2026-05-18 19:27:50,quick,array,int,random,25000,59,887
2026-05-18 19:27:50,quick,array,int,random,25000,60,870
2026-05-18 19:27:50,quick,array,int,random,25000,61,887
2026-05-18 19:27:50,quick,array,int,random,25000,62,889
2026-05-18 19:27:50,quick,array,int,random,25000,63,881
2026-05-18 19:27:50,quick,array,int,random,25000,64,895
2026-05-18 19:27:50,quick,array,int,random,25000,65,903
2026-05-18 19:27:50,quick,array,int,random,25000,66,850
2026-05-18 19:27:50,quick,array,int,random,25000,67,880
2026-05-18 19:27:50,quick,array,int,random,25000,avg,900
2026-05-18 19:27:50,quick,array,int,random,25000,min,850
2026-05-18 19:27:50,quick,array,int,random,25000,max,1046
2026-05-18 19:27:50,quick,array,int,random,25000,1,944
2026-05-18 19:27:50,quick,array,int,random,25000,2,907
2026-05-18 19:27:50,quick,array,int,random,25000,3,921
2026-05-18 19:27:50,quick,array,int,random,25000,4,916
2026-05-18 19:27:50,quick,array,int,random,25000,5,996
2026-05-18 19:27:50,quick,array,int,random,25000,6,930
2026-05-18 19:27:50,quick,array,int,random,25000,7,917
2026-05-18 19:27:50,quick,array,int,random,25000,8,948
2026-05-18 19:27:50,quick,array,int,random,25000,9,965
2026-05-18 19:27:50,quick,array,int,random,25000,10,1107
2026-05-18 19:27:50,quick,array,int,random,25000,11,917
2026-05-18 19:27:50,quick,array,int,random,25000,12,943
2026-05-18 19:27:50,quick,array,int,random,25000,13,921
2026-05-18 19:27:50,quick,array,int,random,25000,14,901
