date,algorithm,structure,dataType,distribution,size,iteration,time_us
2026-05-18 19:27:50,shell,array,int,random,25000,1,1817
2026-05-18 19:27:50,shell,array,int,random,25000,2,1769
2026-05-18 19:27:50,shell,array,int,random,25000,3,1675
2026-05-18 19:27:50,shell,array,int,random,25000,4,1676
2026-05-18 19:27:50,shell,array,int,random,25000,5,1657
2026-05-18 19:27:50,shell,array,int,random,25000,6,1687
2026-05-18 19:27:50,shell,array,int,random,25000,7,1707
2026-05-18 19:27:50,shell,array,int,random,25000,8,1805
2026-05-18 19:27:50,shell,array,int,random,25000,9,1724
2026-05-18 19:27:50,shell,array,int,random,25000,10,1859
2026-05-18 19:27:50,shell,array,int,random,25000,11,1770
2026-05-18 19:27:50,shell,array,int,random,25000,12,2055
2026-05-18 19:27:50,shell,array,int,random,25000,13,1703
2026-05-18 19:27:50,shell,array,int,random,25000,14,1609
2026-05-18 19:27:50,shell,array,int,random,25000,15,1613
2026-05-18 19:27:50,shell,array,int,random,25000,16,1566
2026-05-18 19:27:50,shell,array,int,random,25000,17,1631
2026-05-18 19:27:50,shell,array,int,random,25000,18,1646
2026-05-18 19:27:50,shell,array,int,random,25000,19,1632
2026-05-18 19:27:50,shell,array,int,random,25000,20,1798
2026-05-18 19:27:50,shell,array,int,random,25000,21,1922
2026-05-18 19:27:50,shell,array,int,random,25000,22,1684
2026-05-18 19:27:50,shell,array,int,random,25000,23,1609
2026-05-18 19:27:50,shell,array,int,random,25000,24,1621
2026-05-18 19:27:50,shell,array,int,random,25000,25,1616
2026-05-18 19:27:50,shell,array,int,random,25000,26,1658
2026-05-18 19:27:50,shell,array,int,random,25000,27,1611
2026-05-18 19:27:50,shell,array,int,random,25000,28,1566
2026-05-18 19:27:50,shell,array,int,random,25000,29,1676
2026-05-18 19:27:50,shell,array,int,random,25000,30,1602
2026-05-18 19:27:50,shell,array,int,random,25000,31,1656
2026-05-18 19:27:50,shell,array,int,random,25000,32,1647
2026-05-18 19:27:50,shell,array,int,random,25000,33,1645
2026-05-18 19:27:50,shell,array,int,random,25000,34,1587
2026-05-18 19:27:50,shell,array,int,random,25000,35,1630
2026-05-18 19:27:50,shell,array,int,random,25000,36,1612
